,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Banmark Voiteluaineet Oy,26.05.2021,
1,Y-tunnus,2664173-8,,
2,Kotipaikka,Vantaa,07.07.2021,
3,Yritysmuoto,Osakeyhtiö,18.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,18.02.2015,,
6,Viimeisin rekisteröintiajankohta,13.02.2023,13.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,18.02.2015,,
8,Yrityksen tila,Rekisterissä,18.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,17.06.2020,
11,Yhteystiedot,,31.05.2021,
12,Postiosoite,Kisällintie 13  01730  Vantaa  Suomi,,
13,Käyntiosoite,Kisällintie 13  01730  Vantaa  Suomi,,
14,Puhelin,0408383674,,
15,Sähköposti,info(a)oilcenter.fi,,
16,Www,http://www.oilcenter.fi,,
